,smiles,cluster
0,CCCCCCCCN1C(=O)c2ccc3c4cc(OC)c(-c5ccc(C=O)cc5)cc4c4cc(-c5ccc(C=O)cc5)c(OC)cc4c3c2C1=O,8
1,CCCCCCN1C(=O)c2c(c3ccc4cc(-c5ccccc5)c(OC)cc4c3c3cc(-c4ccccc4)c(OC)cc23)C1=O,8
2,CCCCCCCN1C(=O)c2ccc3c4cc(-c5ccc(C#N)cc5)c(OC)cc4c4cc(-c5ccc(C#N)cc5)c(OC)cc4c3c2C1=O,8
3,CCCCCCCCN1C(=O)c2ccc3c4cc(OC)c(-c5ccc(C#N)cc5)cc4c4cc(OC)c(-c5ccc(C#N)cc5)cc4c3c2C1=O,8
4,CCCCCCCCN1C(=O)c2ccc3c4cc(-c5ccc(C=O)cc5)c(OC)cc4c4cc(-c5ccc(C=O)cc5)c(OC)cc4c3c2C1=O,8
5,CCCCCCCCN1C(=O)c2ccc3c4cc(-c5ccc(C#N)cc5)c(OC)cc4c4cc(-c5ccc(C#N)cc5)c(OC)cc4c3c2C1=O,8
6,CCCCCCCCCCN1C(=O)c2ccc3c4cc(-c5ccccc5)c(OC)cc4c4cc(-c5ccc(-c6ccccc6)cc5)c(OC)cc4c3c2C1=O,8
7,CCCCCCCCCCN1C(=O)c2ccc3c4cc(OC)c(-c5ccccc5)cc4c4cc(-c5ccc(-c6ccccc6)cc5)c(OC)cc4c3c2C1=O,8
8,CCCCCCCCN1C(=O)c2c(c3ccc4cc(-c5ccccc5)c(OC)cc4c3c3cc(-c4ccccc4)c(OC)cc23)C1=O,8
9,CCCCCCCN1C(=O)c2ccc3c4cc(-c5ccc(F)cc5)c(OC)cc4c4cc(-c5ccc(F)cc5)c(OC)cc4c3c2C1=O,8
10,CCCCCCCCN1C(=O)c2c(c3ccc4cc(-c5ccccc5)c(OC)cc4c3c3cc(OC)c(-c4ccccc4)cc23)C1=O,8
11,CCCCCCCN1C(=O)c2ccc3c4cc(OC)c(-c5ccc(C#N)cc5)cc4c4cc(-c5ccc(C#N)cc5)c(OC)cc4c3c2C1=O,8
12,CCCCCCCN1C(=O)c2ccc3c4cc(OC)c(-c5ccc(F)cc5)cc4c4cc(-c5ccc(F)cc5)c(OC)cc4c3c2C1=O,8
13,CCCCCCN1C(=O)c2c(c3ccc4cc(-c5ccccc5)c(OC)cc4c3c3cc(OC)c(-c4ccccc4)cc23)C1=O,8
14,CCCCCCCCN1C(=O)c2c(c3ccc4cc(-c5ccccc5)c(OC)cc4c3c3cc(-c4ccccc4)c(-c4ccccc4)cc23)C1=O,8
15,CCCCCCCN1C(=O)c2c(c3ccc4cc(-c5ccccc5)c(OC)cc4c3c3cc(-c4ccccc4)c(-c4ccccc4)cc23)C1=O,8
16,CCCCCCCN1C(=O)c2c(c3ccc4cc(-c5ccccc5)c(OC)cc4c3c3c2ccc2cc(-c4ccccc4)c(OC)cc23)C1=O,8
17,CCCCCCCCN1C(=O)c2c(c3ccc4cc(-c5ccccc5)c(OC)cc4c3c3c2ccc2cc(-c4ccccc4)c(OC)cc23)C1=O,8
18,CCCCCCN1C(=O)c2c(c3ccc4cc(-c5ccccc5)c(OC)cc4c3c3cc(-c4ccccc4)c(-c4ccccc4)cc23)C1=O,8
19,CCCCCCCN1C(=O)c2ccc3c4cc(-c5ccc(Cl)cc5)c(OC)cc4c4cc(-c5ccc(Cl)cc5)c(OC)cc4c3c2C1=O,8
20,CCCCCCCCN1C(=O)c2ccc3c4cc(OC)c(-c5ccc(Cl)cc5)cc4c4cc(OC)c(-c5ccc(Cl)cc5)cc4c3c2C1=O,8
21,CCCCCCCN1C(=O)c2c(c3ccc4cc(-c5ccccc5)c(OC)cc4c3c3cc(OC)c(-c4ccccc4)cc23)C1=O,8
