index,smiles,cluster
73,O=S(=O)(c1ccccc1)c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(S(=O)(=O)c6ccccc6)cc5)cc4)s3)cc2)cc1,11
83,O=S(=O)(c1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,11
144,COc1ccc(N(c2ccc(OC)cc2)c2ccc(C3(c4ccc(N(c5ccc(OC)cc5)c5ccccc5OC)cc4)OC(=O)c4ccccc43)cc2)cc1,11
149,CCN(CC)c1ccc2cc(/C=C/C(=C(C#N)C#N)c3cc4ccc(N(CC)CC)cc4oc3=O)c(=O)oc2c1,11
702,CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc1,11
736,CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(N(C)C)cc3)C2=C(C#N)C#N)cc1,11
839,CC1(C)c2ccccc2N(c2ccc3c(c2)S(=O)(=O)c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2-3)c2ccccc21,11
1045,O=S(=O)(c1ccc(N=Nc2ccc(O)c3ccccc23)cc1)c1ccc(N=Nc2ccc(O)c3ccccc23)cc1,11
1066,CN(C)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](C)C)cc-3oc2c1,11
1073,CCCCCCCCCCCC[N+]1=C(/C=C2/C(=O)C(/C=C3/N(CCCCCCCC)c4ccccc4C3(C)C)=C2[O-])C(C)(C)c2ccccc21,11
807,CCCCCC1(CCCC)c2cc(C=C3C(=O)c4ccccc4C3=O)ccc2-c2ccc(C=C3C(=O)c4ccccc4C3=O)cc21,13
813,CCCCCC1(CC)c2cc3ccc2-c2ccc(cc21)C#Cc1ccc(ccc2cccc4ccc1-c42)=c1ccc(c2ccc4cccc(cc1)c4-2)C#C3,13
820,CCCCC1(CC)c2cc(C#Cc3ccc4c5c(cccc35)C=C4)ccc2-c2ccc(C#Cc3ccc4ccc5cccc6ccc3c4c56)cc21,13
831,CCCCCCC1(CCCCCC)c2cc(C=Cn3c4ccccc4c(=O)c4ccccc43)ccc2-c2ccc(C=Cn3c4ccccc4c(=O)c4ccccc43)cc21,13
832,CCCCCC1(CC)c2cc(C=C3C(=O)c4ccccc4C3=O)ccc2-c2ccc(N3C(=O)c4ccccc4C3=O)cc21,13
847,CCC1(CC)c2cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc2-c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc21,13
854,CCCCCC1(CC)c2cc(C=C3C(=O)c4ccccc4C3=C(C#N)C#N)ccc2-c2ccc(C=C3C(=O)c4ccccc4C3=C(C#N)C#N)cc21,13
455,N#CC(=Cc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1)c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,2
464,COc1cc(/C=C/C2=CC(/C=C/c3ccc(OC)c(OS(=O)(=O)c4ccc(C)cc4)c3)=[O+][B-](F)(F)O2)ccc1OS(=O)(=O)c1ccc(C)cc1,2
638,CN(C)c1ccc(/C=C/c2ccc(-c3nc(-c4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)c4ccccc4n3)cc2)cc1,2
700,CN(C)c1ccc(/C=C/c2nc3ccccc3nc2/C=C/c2ccc(N(C)C)cc2)cc1,2
746,CN(C)c1ccc(/C=C/c2ccc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)cc2)cc1,2
751,COc1cccc(/C=C/c2ccc(-c3nnc(-c4ccc(-c5cc6ccccc6s5)cc4)o3)cc2)c1,2
