strength,absorption,splitting,solvent,pct_valid_total,pct_unique_total,pct_unique_within_valid,mean_scaffold_tanimoto,scaffold_diversity
0,0,0,0,36.8,26.0,70.65,0.2292,0.7708
0,1,1,0,41.6,36.0,86.54,0.1836,0.8164
0,2,2,0,42.4,38.0,89.62,0.1562,0.8438
0,3,3,0,48.4,45.6,94.21,0.1736,0.8264
0,4,4,0,59.6,50.8,85.23,0.1977,0.8023
1,0,0,0,32.0,28.0,87.5,0.1494,0.8506
1,1,1,0,27.2,23.2,85.29,0.1484,0.8516
1,2,2,0,32.0,27.6,86.25,0.1876,0.8124
1,3,3,0,40.0,33.6,84.0,0.1855,0.8145
1,4,4,0,46.4,41.2,88.79,0.172,0.828
2,0,0,0,36.4,32.8,90.11,0.1381,0.8619
2,1,1,0,19.2,17.2,89.58,0.2017,0.7983
2,2,2,0,20.0,18.4,92.0,0.1476,0.8524
2,3,3,0,24.8,23.2,93.55,0.1595,0.8405
2,4,4,0,32.8,22.0,67.07,0.117,0.883
3,0,0,0,44.4,40.0,90.09,0.1915,0.8085
3,1,1,0,40.0,38.4,96.0,0.1947,0.8053
3,2,2,0,28.8,28.8,100.0,0.1763,0.8237
3,3,3,0,43.2,38.0,87.96,0.2351,0.7649
3,4,4,0,41.6,33.6,80.77,0.1316,0.8684
4,0,0,0,46.8,45.6,97.44,0.1441,0.8559
4,1,1,0,52.8,51.2,96.97,0.1637,0.8363
4,2,2,0,48.4,47.2,97.52,0.1757,0.8243
4,3,3,0,35.2,35.2,100.0,0.1553,0.8447
4,4,4,0,41.6,37.2,89.42,0.1477,0.8523
