,S0-A0,S0-A1,S0-A2,S0-A3,S0-A4,S1-A0,S1-A1,S1-A2,S1-A3,S1-A4,S2-A0,S2-A1,S2-A2,S2-A3,S2-A4,S3-A0,S3-A1,S3-A2,S3-A3,S3-A4,S4-A0,S4-A1,S4-A2,S4-A3,S4-A4
S0-A0,,4.7297,1.9108,0.0000,1.0526,5.4688,3.3613,1.5152,1.3605,1.2048,2.0833,0.9346,0.9091,0.0000,1.6949,1.2270,0.0000,0.0000,0.0000,2.0548,0.5618,0.5208,0.0000,0.6579,1.2821
S0-A1,4.7297,,4.5198,0.9901,0.9302,1.9108,4.2254,2.5806,2.3529,0.5208,0.5848,1.5267,0.7407,0.6803,0.6944,1.0638,0.0000,0.0000,0.0000,1.1628,0.4926,0.4608,0.0000,0.5650,0.5495
S0-A2,1.9108,4.5198,,1.9512,1.8349,0.6098,2.6846,3.1447,2.8736,0.5076,0.5682,2.9851,2.9197,1.3245,1.3514,1.0363,0.5263,0.6024,0.5291,1.1299,0.0000,0.0000,0.0000,0.0000,1.0753
S0-A3,0.0000,0.9901,1.9512,,1.2605,0.0000,0.5848,1.1050,1.5385,0.0000,0.0000,0.0000,0.0000,0.5848,0.5952,0.4695,0.0000,0.5405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
S0-A4,1.0526,0.9302,1.8349,1.2605,,0.5102,2.2099,1.0309,0.9569,1.7699,0.9662,0.5917,1.1696,1.0929,1.6760,1.3393,0.4505,0.0000,0.0000,1.4423,0.4167,0.3937,0.0000,0.4673,1.8519
S1-A0,5.4688,1.9108,0.6098,0.0000,0.5102,,3.2258,0.7246,1.3158,0.5814,4.8276,0.8929,0.8696,0.0000,0.8065,1.7964,0.0000,0.7092,1.2270,1.3158,0.5464,0.5076,0.0000,0.6369,0.6173
S1-A1,3.3613,4.2254,2.6846,0.5848,2.2099,3.2258,,4.0984,2.8986,1.8987,2.1898,1.0000,2.9703,0.8696,1.8018,1.9355,0.6536,0.0000,0.0000,2.1583,0.5848,0.5405,0.0000,0.6897,1.3423
S1-A2,1.5152,2.5806,3.1447,1.1050,1.0309,0.7246,4.0984,,2.6846,1.1765,1.3423,0.9009,2.6786,0.0000,1.6393,1.1976,0.6098,0.0000,0.0000,1.3245,0.5495,0.5102,0.5376,0.6410,1.2500
S1-A3,1.3605,2.3529,2.8736,1.5385,0.9569,1.3158,2.8986,2.6846,,0.5376,0.0000,0.0000,2.3622,2.8986,0.0000,0.5464,0.0000,0.6452,0.5618,0.5988,0.0000,0.0000,0.0000,0.0000,0.5682
S1-A4,1.2048,0.5208,0.5076,0.0000,1.7699,0.5814,1.8987,1.1765,0.5376,,1.0929,0.6897,0.6757,0.0000,1.9355,0.9950,0.0000,0.0000,0.0000,2.1858,0.4630,0.4348,0.0000,0.5263,1.0309
