smiles,strength,absorption
CC1(C)c2ccccc2N(c2ccc(/C=C(/C#N)C(=O)O)cc2)c2ccccc21,0,0
CCCCCCC1(CCCCCC)c2cc(-c3cc4c5c(c3)C(C)(C)CCN5CCC4(C)C)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21,0,0
CC1(C)c2ccccc2N(c2cccc(C3CCCC3)c2)c2ccc(N(c3ccccc3)c3ccccc3)cc21,0,0
c1ccc(N(c2ccccc2)c2ccc3c(c2)Oc2ccccc2N3c2cccc(C3CCCC3)c2)cc1,0,0
Cc1cc(-c2ccccc2)c2ccccc2c1,0,0
CCCC1(C)c2cc(N3c4ccccc4Oc4ccccc43)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21,0,0
[NH+]c1ccc2ccc3cccc4ccc1c2c34,0,0
CCCC1(C)c2cc(N3c4ccccc4C(C)(C)c4ccccc43)ccc2-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc21,0,0
Cc1cc(C)cc(N2c3ccccc3N(c3nc(-c4ccccc4)nc(N4c5ccccc5N(c5ccccc5)c5ccccc54)n3)c3ccccc32)c1,0,0
CCCCCC1(C)c2cc(N3c4ccccc4Oc4ccccc43)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21,0,0
CC1(C)c2ccccc2N(c2ccc(C3CCCC3)nn2)c2ccc(N(c3ccccc3)c3ccccc3)cc21,0,0
Cl,0,0
N#CC1=CC(=O)[CH]C1,0,0
c1ccc2c(c1)Sc1cc(-n3c4ccccc4c4ccccc43)ccc1N2c1ccc(C2CCCC2)cc1,0,0
CC1(C)c2cc(N3c4ccccc4Oc4ccccc43)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21,0,0
c1cc(C2CCCC2)cc(N2c3ccc(N4c5ccccc5Oc5ccccc54)cc3Oc3cc(N4c5ccccc5Oc5ccccc54)ccc32)c1,0,0
Cc1cc(C)cc(N2c3ccccc3Oc3ccccc32)c1,0,0
CC1=N/C(=N\c2ccc(N3c4ccccc4Sc4ccccc43)cc2)c2ccccc21,0,0
Cc1cc(C)cc(N2c3ccccc3N(c3ccccc3)c3ccccc32)c1,0,0
CCCCCC1(C)c2cc(N3c4ccccc4Sc4ccccc43)ccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,0,0
O=C1C=C(c2ccccc2)C(=O)C1,0,0
Cc1cc(CN(c2ccccc2)c2ccccc2)c2ccccc2c1,0,0
CC1=N/C(=N\c2ccc(N3c4ccccc4Sc4ccccc43)cc2)S1,0,0
c1ccc2c(c1)Oc1ccccc1N2c1ccc2sccc2c1,0,0
O=c1sc2cc(N3c4ccccc4Oc4ccccc43)ccc2c2ccc(N3c4ccccc4Oc4ccccc43)cc12,0,0
c1ccc2c(c1)Oc1ccccc1N2c1ccc2c(c1)Oc1ccccc1N2c1ccc(C2CCCC2)cc1,0,0
F,0,0
c1cnc(C2CCC(c3cc(C4CCCC4)cc(N4c5ccccc5Oc5ccccc54)c3)CC2)nc1,0,0
CCCCCC1(C)c2cc(-c3ccc(C=C(C#N)C(=O)O)cc3)ccc2-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc21,0,0
Cc1cc(-c2ccc(N(C)C)cc2)cc(C)c1N1c2ccccc2Oc2ccccc21,0,0
CC1(C)c2ccccc2N(C2CCC(c3cc(-c4ccccc4)cc(C4CCCC4)c3)CC2)c2ccc(N(c3ccccc3)c3ccccc3)cc21,0,0
CCCC1(C)c2cc(N3c4ccccc4Sc4ccccc43)ccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,0,0
Cc1cc(N2c3ccccc3Oc3ccccc32)cc(C)c1C#N,0,0
Cc1cc(C(=O)c2ccccc2)cc(N2c3ccccc3N(c3ccccc3)c3ccccc32)c1,0,0
CC1(C)c2ccccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,0,0
N#Cc1cccc(N2c3ccccc3Oc3ccccc32)c1,0,0
Cc1cc(CN2c3ccccc3N(c3ccccc3)c3ccccc32)c2ccccc2c1,0,0
Cc1cc(C)cc(N2c3ccccc3Sc3ccccc32)c1,0,0
Cc1ccc2ccccc2c1,0,0
Cc1cc2ccccc2c2ccccc12,0,0
Cc1cc(N2c3ccccc3N(c3ccccc3)c3ccccc32)c2ccccc2c1,0,0
N#Cc1cc(C#N)c(C#N)cc1C#N,0,0
N#CC1=CCC=C1,0,0
Cc1cc(N2c3ccccc3N(c3c(C)cccc3C)c3ccccc32)cc(S(=O)(=O)c2ccccc2)c1,0,0
CC(=O)c1cc(C)cc(N2c3ccccc3N(c3ccccc3)c3ccccc32)c1,0,0
O=c1ccc2c(=O)c3ccccc3c(=O)c1=2,0,0
N#Cc1cc(C#N)c(C#Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1C#N,0,0
CC1=Cc2c(N3c4ccccc4Sc4ccccc43)ccc3cccc1c23,0,0
Cc1ccc2c3ccc(C(=O)c4ccccc4)cc3c3nc(N4c5ccccc5Oc5ccccc54)c(C(=O)c4ccccc4)nc3c2c1,0,0
c1ccc(N(c2ccccc2)c2ccc3c(c2)Oc2ccccc2N3c2ccc(C3CCCC3)cc2)cc1,0,0
O=c1oc2cc3c(cc2c2c1oc1cc(N4c5ccccc5Sc5ccccc54)ccc12)oc1cc(N2c4ccccc4Sc4ccccc42)ccc13,0,0
CC1(C)c2ccccc2N(c2ccc(-c3ncc(C#N)cn3)cc2)c2ccccc21,0,0
CC1(C)c2cc(N3c4ccccc4C(C)(C)c4ccccc43)ccc2-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc21,0,0
O=C1C=C(O)C(c2ccccc2)=C1,0,0
CN(C)c1ccc(/C=C/c2cc[n+](CCCSc3n(C)cc[n+]3C)cc2)cc1,0,0
O=[N+]([O-])C(=CNc1ccc(/N=N/c2ccccc2)cc1)[N+](=O)[O-],0,0
CC1=CC2=C(c3ccc(C(=O)ON4C(=O)CCC4=O)cc3)c3ccc(N4CCCC4)n3[B-](F)(F)[N+]2=C1,0,0
c1cc(C2CCCC2)cc(N2c3ccccc3Oc3cc(N4c5ccccc5Oc5ccccc54)ccc32)c1,0,0
c1ccc2c(c1)Oc1ccccc1N2c1ccc2ncoc2c1,0,0
Cc1cc2ccc3ccc4ccc5ccc1c2c3c45,0,0
O=C([O-])F,0,0
CC1(C)c2ccccc2N(c2ccc3c(c2)P(=O)(c2ccccc2)c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2-3)c2ccccc21,0,0
Cc1cc(-c2c(C)cc(C)c(N3c4ccccc4N(c4ccccc4)c4ccccc43)c2C)c2ccccc2c1,0,0
COP(=O)(OCc1cccc(C(=O)Cn2c3ccccc3c(=O)c3ccccc32)c1)OP(=O)(O)OCCNC(=O)C(N)CC(C)=O,0,0
CC(=O)CC(CCC(=O)O)C(=O)NCCOP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[CH]C[C@@H]1O,0,0
[O]C1=Cc2ccc3c4c(ccc1c24)C=C3,0,1
CC1CCc2cc(N3c4ccccc4C(C)(C)c4ccccc43)ccc21,0,1
O=Cc1ccc2c(c1)C(=O)c1cc(N3CCCCC3)ccc1-2,0,1
CCCC1(C)c2cc(C#CC3=CC=c4ccc5c6c3ccc(c46)C=CC=5)ccc2-c2ccc(C#Cc3ccc4ccc5cccc6ccc3c4c56)cc21,0,1
FC(F)(F)c1ccc(-c2cc(-c3ccc(C(F)(F)F)cc3)cc(C3CCCC3)c2)cc1,0,1
C1=CC2=C(c3c4ccccc4cc4ccccc34)C=CC2=C1,0,1
CC(=O)Cc1ccc2ccc3cccc4ccc1c2c34,0,1
N#Cc1cc(/C=N/NC(=O)Cn2c3ccccc3c(=O)c3ccccc32)ccc1O,0,1
O=c1c2ccccc2n(-c2ccc(C3CCCC3)cc2)c2ccccc12,0,1
CCC1(C)c2cc(C#Cc3ccc(/C=C(\C)c4ccccc4)cc3)ccc2-c2ccc(C#Cc3ccc(/C=C(\C)c4ccccc4)cc3)cc21,0,1
CCC1(C)c2cc(C=O)ccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,0,1
CC1(C)c2cc(N3c4ccccc4Sc4ccccc43)ccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,0,1
CCC1(C)c2ccccc2-c2ccc(N3c4ccccc4Sc4cc(C)ccc43)cc21,0,1
C1=Cc2ccc3c4c(ccc1c24)C=C3,0,1
CCC1(C)c2ccccc2N(c2ccc(-c3ccc(C#N)cn3)cc2)c2ccccc21,0,1
CC1(C)c2ccccc2N(C2CCCC2)c2ccccc21,0,1
CCCCCCCCCCCCC[NH+],0,1
CCCCC/[NH+]=c1/cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)[O-])c-2cc1C,0,1
CCCCCC1(CC)c2ccccc2-c2ccc(-n3c4ccccc4c(=O)c4ccccc43)cc21,0,1
O=c1[nH]c(-c2ccc(-c3ccccc3)cc2)c2c(=O)c(=O)cc1-2,0,1
CC1=Cc2ccc3c4c(ccc1c24)C=C3,0,1
O=Cc1nn(-c2cccc3ccccc23)c(=O)c2ccccc12,0,1
CC1(C)c2ccccc2N(c2cccc(C#N)c2)c2ccccc21,0,1
c1cnc2c(C3CCCC(c4ccc(-c5ccc(C6CCCC6)nn5)nn4)C3)cncc2c1,0,1
CC1(C)CCN2CCC(C)(C)c3cc(-c4ccc(C=C(C#N)C(=O)O)s4)cc1c32,0,1
Cc1cc2ccccc2cc1C,0,1
CCC1(C)c2ccccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,0,1
O=C(COP(=O)([O-])OCc1cccc(C(=O)Nc2cccc3cccnc23)c1)NC(COP(=O)([O-])O[C@H]1[CH]O[C@@H]1COP(=O)([O-])[O-])C(=O)[O-],0,1
CC1(C)c2cc(C=O)ccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,0,1
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc2c(c1)Oc1ccccc1S2,0,1
O=C1NC(=O)C2C=CC=CC2C1=O,0,1
CC1(C)CCc2cc3c(cc21)C(c1ccc(N2c4ccccc4Sc4ccccc42)cc1C(=O)[O-])=c1cc2c4c(c1O3)CCC[N+]=4CCC2,0,1
c1cnc2c(c1)ccc1cc(C3CCCC3)cnc12,0,1
CCCCCCCCCN1c2ccccc2Sc2cc(/C=C(/C#N)C(=O)O)ccc21,0,1
CCCC1(C)c2ccccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,0,1
CC1(C)c2ccccc2N(c2ccc(-c3cc(-c4ccccc4)nc(-c4ccccc4)c3)cc2)c2ccccc21,0,1
c1cnc2c(c1)ccc1ccc(C3CCCC3)nc12,0,1
c1cc2ccc3cccc4ccc(c1)c2c34,0,1
c1ccc(-n2c3ccc(-c4cccc(C5CCCC5)c4)cc3c3cc(-c4ccc5c6ccccc6n(-c6ccccc6)c5c4)ccc32)cc1,0,1
CCCCCCCCCCCN1c2ccc(C=O)cc2CCC1(C)C,0,1
CC1(C)c2cccc(C3=C4C=CC=C4C=C3)c2Oc2c1ccc1cc3ccccc3cc21,0,1
