temperature,beams,pct_valid_total,pct_unique_total,pct_unique_within_valid,mean_scaffold_tanimoto,scaffold_diversity
0.5,1,62.8,47.2,75.16,0.1865,0.8135
0.5,250,36.8,26.8,72.83,0.2255,0.7745
0.6,1,63.6,59.2,93.08,0.1834,0.8166
0.6,250,36.8,26.8,72.83,0.2255,0.7745
0.7,1,58.0,54.4,93.79,0.1663,0.8337
0.7,250,36.8,26.8,72.83,0.2255,0.7745
0.8,1,50.8,48.8,96.06,0.1593,0.8407
0.8,250,36.4,26.8,73.63,0.2255,0.7745
0.9,1,58.0,55.6,95.86,0.1464,0.8536
0.9,250,36.8,26.8,72.83,0.2255,0.7745
1.0,1,55.2,55.2,100.0,0.1364,0.8636
1.0,250,36.8,26.8,72.83,0.2255,0.7745
1.1,1,46.8,46.4,99.15,0.1251,0.8749
1.1,250,36.8,26.8,72.83,0.2255,0.7745
1.2,1,36.0,36.0,100.0,0.1219,0.8781
1.2,250,35.6,26.4,74.16,0.2224,0.7776
1.3,1,37.6,36.8,97.87,0.1092,0.8908
1.3,250,37.2,27.6,74.19,0.2237,0.7763
1.4,1,32.0,31.2,97.5,0.1071,0.8929
1.4,250,34.8,24.4,70.11,0.2413,0.7587
1.5,1,28.8,28.8,100.0,0.0977,0.9023
1.5,250,38.0,28.0,73.68,0.2535,0.7465
1.6,1,18.0,17.6,97.78,0.0818,0.9182
1.6,250,41.2,29.6,71.84,0.2361,0.7639
1.7,1,20.0,19.6,98.0,0.0988,0.9012
1.7,250,40.4,28.8,71.29,0.2564,0.7436
1.8,1,20.4,20.0,98.04,0.0864,0.9136
1.8,250,41.6,30.0,72.12,0.2659,0.7341
1.9,1,17.6,16.0,90.91,0.1068,0.8932
1.9,250,38.0,26.8,70.53,0.2849,0.7151
2.0,1,12.8,12.0,93.75,0.1159,0.8841
2.0,250,40.8,25.6,62.75,0.2941,0.7059
